scenario,method,n_train,eta,delta,lambda,true_value,true_regret,q05_value,cvar10_value,emp_nominal_value,emp_robust_value,emp_true_value,gamma_u,match_rate,selected_u_raw,hotspot_treat1_rate,lcb,coverage,gap,epsilon,kl_to_prior,rep_seed,replication
S0,owl_standard,200,nan,nan,0.1,0.5351614004906965,-0.000980888683524972,0.2702006437637393,0.26054370212297595,0.6408300792472265,0.6408300792472265,0.6408300792472265,0.0,0.59,0.0,0.234,nan,nan,nan,0.5,,383329927,0
S0,owl_clipped,200,nan,nan,0.01,0.5342027650373962,-2.225323022464476e-05,0.26730614015114607,0.25761199736011586,0.6520337486042916,0.6520337486042916,0.6520337486042916,0.0,0.6,0.0,0.2322,nan,nan,nan,0.5,,383329927,0
S0,owl_robust_map,200,nan,nan,0.1,0.5351614004906965,-0.000980888683524972,0.2702006437637393,0.26054370212297595,0.6408300792472265,0.6408300792472265,0.6408300792472265,0.0,0.59,0.0,0.234,nan,nan,nan,0.5,,383329927,0
S0,oracle_true_owl,200,nan,nan,0.001,0.5341805118071715,0.0,0.2678477281539028,0.25779080461916215,0.6520337486042916,0.6520337486042916,0.6520337486042916,0.0,0.6,0.0,0.23275,nan,nan,nan,0.5,,383329927,0
S0,pac_nominal_gibbs,200,0.3,nan,nan,0.5281956115036739,0.005984900303497631,0.3222271900730943,0.3124490215533607,0.6236769877983699,0.6236769877983699,0.6236769877983699,0.0,0.5805138908039935,0.0,0.2413842977812751,nan,nan,nan,0.5,0.5757640459451815,383329927,0
S0,pac_robust_gibbs,200,0.3,0.2,nan,0.5281956115036739,0.005984900303497631,0.3222271900730943,0.3124490215533607,0.6236769877983699,0.6236769877983699,0.6236769877983699,0.0,0.5805138908039935,0.0,0.2413842977812751,0.4758369225190604,1.0,0.05235868898461349,0.5,0.5757640459451815,383329927,0
S0,pac_robust_gibbs,200,0.3,0.1,nan,0.5281956115036739,0.005984900303497631,0.3222271900730943,0.3124490215533607,0.6236769877983699,0.6236769877983699,0.6236769877983699,0.0,0.5805138908039935,0.0,0.2413842977812751,0.4527320165003955,1.0,0.07546359500327837,0.5,0.5757640459451815,383329927,0
S0,pac_robust_gibbs,200,0.3,0.05,nan,0.5281956115036739,0.005984900303497631,0.3222271900730943,0.3124490215533607,0.6236769877983699,0.6236769877983699,0.6236769877983699,0.0,0.5805138908039935,0.0,0.2413842977812751,0.4296271104817307,1.0,0.0985685010219432,0.5,0.5757640459451815,383329927,0
S0,pac_nominal_gibbs,200,1.0,nan,nan,0.5334728687455274,0.0007076430616441698,0.2855643601155996,0.2778449728090033,0.6455045627631495,0.6455045627631495,0.6455045627631495,0.0,0.5949586899195406,0.0,0.2314581748825609,nan,nan,nan,0.5,1.7099254422610886,383329927,0
S0,pac_robust_gibbs,200,1.0,0.2,nan,0.5334728687455274,0.0007076430616441698,0.2855643601155996,0.2778449728090033,0.6455045627631495,0.6455045627631495,0.6455045627631495,0.0,0.5949586899195406,0.0,0.2314581748825609,0.3623109292161974,1.0,0.17116193952932995,0.5,1.7099254422610886,383329927,0
S0,pac_robust_gibbs,200,1.0,0.1,nan,0.5334728687455274,0.0007076430616441698,0.2855643601155996,0.2778449728090033,0.6455045627631495,0.6455045627631495,0.6455045627631495,0.0,0.5949586899195406,0.0,0.2314581748825609,0.35537945741059795,1.0,0.1780934113349294,0.5,1.7099254422610886,383329927,0
S0,pac_robust_gibbs,200,1.0,0.05,nan,0.5334728687455274,0.0007076430616441698,0.2855643601155996,0.2778449728090033,0.6455045627631495,0.6455045627631495,0.6455045627631495,0.0,0.5949586899195406,0.0,0.2314581748825609,0.34844798560499846,1.0,0.1850248831405289,0.5,1.7099254422610886,383329927,0
S0,pac_nominal_gibbs,200,3.0,nan,nan,0.5341337081835423,4.6803623629187996e-05,0.2714506599437498,0.26294450015120224,0.6510010135505047,0.6510010135505047,0.6510010135505047,0.0,0.599158348541536,0.0,0.23151791884594958,nan,nan,nan,0.5,2.633658978253674,383329927,0
