scenario,n_train,eta,delta,n_rep,coverage_mean,coverage_std,emp_robust_value_mean,emp_robust_value_std,gap_mean,gap_std,lcb_mean,lcb_std,true_value_mean,true_value_std
S1,200,0.3,0.2,50,1.0,0.0,0.6317642021838933,0.03854390077234554,0.06432124160640203,0.024250018565877815,0.4690253857447809,0.03119393113783607,0.5333466273511829,0.012208754992061862
S1,200,0.3,0.1,50,1.0,0.0,0.6317642021838933,0.03854390077234554,0.08742614762506687,0.024250018565877808,0.4459204797261161,0.031193931137836063,0.5333466273511829,0.012208754992061862
S1,200,0.3,0.05,50,1.0,0.0,0.6317642021838933,0.03854390077234554,0.1105310536437317,0.02425001856587782,0.42281557370745126,0.031193931137836074,0.5333466273511829,0.012208754992061862
S1,200,1.0,0.2,50,1.0,0.0,0.6702048856717311,0.039169984751401626,0.1673260327977426,0.030898486863860528,0.375018390883011,0.037253657626967265,0.5423444236807535,0.014691499394608154
S1,200,1.0,0.1,50,1.0,0.0,0.6702048856717311,0.039169984751401626,0.174257504603342,0.03089848686386053,0.3680869190774115,0.03725365762696727,0.5423444236807535,0.014691499394608154
S1,200,1.0,0.05,50,1.0,0.0,0.6702048856717311,0.039169984751401626,0.18118897640894147,0.030898486863860535,0.36115544727181215,0.03725365762696727,0.5423444236807535,0.014691499394608154
S1,200,3.0,0.2,50,1.0,0.0,0.6743669240228374,0.037636689317350674,0.6359740198901719,0.03250948167348785,-0.09281006181767858,0.037741999415545735,0.5431639580724933,0.015396868264607632
S1,200,3.0,0.1,50,1.0,0.0,0.6743669240228374,0.037636689317350674,0.6382845104920384,0.03250948167348785,-0.09512055241954506,0.037741999415545735,0.5431639580724933,0.015396868264607632
S1,200,3.0,0.05,50,1.0,0.0,0.6743669240228374,0.037636689317350674,0.6405950010939049,0.03250948167348786,-0.09743104302141152,0.03774199941554574,0.5431639580724933,0.015396868264607632
S1,500,0.3,0.2,50,1.0,0.0,0.6274125857283358,0.02506124662793951,0.0621237099689715,0.01867279483731674,0.4998918497835237,0.022633788120615443,0.5620155597524953,0.008988352011460995
S1,500,0.3,0.1,50,1.0,0.0,0.6274125857283358,0.02506124662793951,0.07136567237643744,0.01867279483731674,0.49064988737605775,0.022633788120615443,0.5620155597524953,0.008988352011460995
S1,500,0.3,0.05,50,1.0,0.0,0.6274125857283358,0.02506124662793951,0.08060763478390338,0.018672794837316733,0.4814079249685919,0.022633788120615433,0.5620155597524953,0.008988352011460995
S1,500,1.0,0.2,50,1.0,0.0,0.6359468832439357,0.022887930074586817,0.2007739159549596,0.021282941861678444,0.36633031952450656,0.023063090021398197,0.5671042354794661,0.009396072555575922
S1,500,1.0,0.1,50,1.0,0.0,0.6359468832439357,0.022887930074586817,0.20354650467719942,0.021282941861678447,0.3635577308022668,0.023063090021398204,0.5671042354794661,0.009396072555575922
S1,500,1.0,0.05,50,1.0,0.0,0.6359468832439357,0.022887930074586817,0.20631909339943916,0.02128294186167845,0.360785142080027,0.023063090021398207,0.5671042354794661,0.009396072555575922
S1,500,3.0,0.2,50,1.0,0.0,0.6368019756035888,0.022822776802998178,0.687731148546611,0.021355936626194682,-0.1201745116334436,0.022898983360989857,0.5675566369131673,0.00951021419062664
S1,500,3.0,0.1,50,1.0,0.0,0.6368019756035888,0.022822776802998178,0.6886553447873576,0.021355936626194685,-0.12109870787419019,0.022898983360989857,0.5675566369131673,0.00951021419062664
S1,500,3.0,0.05,50,1.0,0.0,0.6368019756035888,0.022822776802998178,0.6895795410281041,0.021355936626194692,-0.1220229041149368,0.022898983360989868,0.5675566369131673,0.00951021419062664
S1,1000,0.3,0.2,50,1.0,0.0,0.6153711249655047,0.020784397245499096,0.06919167393359064,0.018122058246541315,0.5105393306146344,0.020655130072890226,0.5797310045482251,0.007854395930091487
S1,1000,0.3,0.1,50,1.0,0.0,0.6153711249655047,0.020784397245499096,0.07381265513732363,0.01812205824654132,0.5059183494109015,0.02065513007289022,0.5797310045482251,0.007854395930091487
S1,1000,0.3,0.05,50,1.0,0.0,0.6153711249655047,0.020784397245499096,0.07843363634105659,0.018122058246541322,0.5012973682071685,0.020655130072890226,0.5797310045482251,0.007854395930091487
S1,1000,1.0,0.2,50,1.0,0.0,0.6173717581932876,0.02033519310373764,0.22364054772791875,0.018611011155424975,0.35742210036230004,0.02046000995890497,0.5810626480902188,0.007785608409902715
S1,1000,1.0,0.1,50,1.0,0.0,0.6173717581932876,0.02033519310373764,0.22502684208903861,0.01861101115542498,0.35603580600118007,0.02046000995890497,0.5810626480902188,0.007785608409902715
S1,1000,1.0,0.05,50,1.0,0.0,0.6173717581932876,0.02033519310373764,0.22641313645015854,0.018611011155424975,0.35464951164006014,0.020460009958904964,0.5810626480902188,0.007785608409902715
S1,1000,3.0,0.2,50,1.0,0.0,0.6177014792141793,0.020327078901405893,0.7171028575837383,0.01860053759501242,-0.1357797891219422,0.02036791046049783,0.581323068461796,0.007858381682294373
S1,1000,3.0,0.1,50,1.0,0.0,0.6177014792141793,0.020327078901405893,0.7175649557041115,0.01860053759501244,-0.13624188724231545,0.02036791046049785,0.581323068461796,0.007858381682294373
S1,1000,3.0,0.05,50,1.0,0.0,0.6177014792141793,0.020327078901405893,0.7180270538244846,0.01860053759501242,-0.13670398536268877,0.02036791046049783,0.581323068461796,0.007858381682294373
S2,200,0.3,0.2,50,1.0,0.0,0.5942822396912557,0.050833363433008434,0.26061428839482076,0.039057563532824906,0.255161765621473,0.047886731932012205,0.5157760540162939,0.010673504202420683
S2,200,0.3,0.1,50,1.0,0.0,0.5942822396912557,0.050833363433008434,0.31837655344148286,0.03905756353282491,0.19739950057481095,0.04788673193201221,0.5157760540162939,0.010673504202420683
S2,200,0.3,0.05,50,1.0,0.0,0.5942822396912557,0.050833363433008434,0.376138818488145,0.03905756353282492,0.13963723552814888,0.04788673193201222,0.5157760540162939,0.010673504202420683
S2,200,1.0,0.2,50,1.0,0.0,0.6501798252116439,0.06015298676898117,0.5787722453300918,0.04183132561331679,-0.054367403088295366,0.05347262568077859,0.5244048422417964,0.01584546378335958
S2,200,1.0,0.1,50,1.0,0.0,0.6501798252116439,0.06015298676898117,0.5961009248440904,0.04183132561331679,-0.071696082602294,0.05347262568077859,0.5244048422417964,0.01584546378335958
S2,200,1.0,0.05,50,1.0,0.0,0.6501798252116439,0.06015298676898117,0.613429604358089,0.04183132561331677,-0.0890247621162926,0.05347262568077858,0.5244048422417964,0.01584546378335958
S2,200,3.0,0.2,50,1.0,0.0,0.6774048657764067,0.059151846661572235,1.7667433899026483,0.045395034790199164,-1.23803442698746,0.0577872972770386,0.5287089629151884,0.019280308308480133
S2,200,3.0,0.1,50,1.0,0.0,0.6774048657764067,0.059151846661572235,1.7725196164073147,0.04539503479019916,-1.243810653492126,0.0577872972770386,0.5287089629151884,0.019280308308480133
S2,200,3.0,0.05,50,1.0,0.0,0.6774048657764067,0.059151846661572235,1.7782958429119808,0.04539503479019914,-1.2495868799967922,0.05778729727703858,0.5287089629151884,0.019280308308480133
S2,500,0.3,0.2,50,1.0,0.0,0.5770240021254414,0.037019049427941896,0.215508862863018,0.02411653560520322,0.31439573147103017,0.031727744394602964,0.5299045943340481,0.009993973224562252
S2,500,0.3,0.1,50,1.0,0.0,0.5770240021254414,0.037019049427941896,0.23861376888168284,0.024116535605203233,0.2912908254523653,0.03172774439460298,0.5299045943340481,0.009993973224562252
S2,500,0.3,0.05,50,1.0,0.0,0.5770240021254414,0.037019049427941896,0.2617186749003476,0.024116535605203233,0.26818591943370046,0.03172774439460297,0.5299045943340481,0.009993973224562252
S2,500,1.0,0.2,50,1.0,0.0,0.6210101694205343,0.040543151646210994,0.6020029555634886,0.030619538849246963,-0.04988456774382183,0.03767690892746034,0.5521183878196667,0.015278708718786213
S2,500,1.0,0.1,50,1.0,0.0,0.6210101694205343,0.040543151646210994,0.608934427369088,0.030619538849246963,-0.05681603954942129,0.03767690892746033,0.5521183878196667,0.015278708718786213
S2,500,1.0,0.05,50,1.0,0.0,0.6210101694205343,0.040543151646210994,0.6158658991746875,0.030619538849246983,-0.06374751135502073,0.037676908927460354,0.5521183878196667,0.015278708718786213
S2,500,3.0,0.2,50,1.0,0.0,0.6260728303625136,0.03926567442281029,1.823018132751184,0.03273763202258721,-1.2666117450525454,0.03889213345153694,0.5564063876986388,0.01719492111789124
S2,500,3.0,0.1,50,1.0,0.0,0.6260728303625136,0.03926567442281029,1.8253286233530508,0.03273763202258724,-1.2689222356544119,0.03889213345153695,0.5564063876986388,0.01719492111789124
S2,500,3.0,0.05,50,1.0,0.0,0.6260728303625136,0.03926567442281029,1.827639113954917,0.03273763202258725,-1.2712327262562786,0.03889213345153696,0.5564063876986388,0.01719492111789124
S2,1000,0.3,0.2,50,1.0,0.0,0.5950895012746291,0.032980317815700405,0.2068340343549618,0.02063608773464531,0.3501874555943123,0.028461913021460693,0.557021489949274,0.011893424136369754
S2,1000,0.3,0.1,50,1.0,0.0,0.5950895012746291,0.032980317815700405,0.21838648736429428,0.020636087734645304,0.33863500258497986,0.028461913021460686,0.557021489949274,0.011893424136369754
S2,1000,0.3,0.05,50,1.0,0.0,0.5950895012746291,0.032980317815700405,0.22993894037362664,0.020636087734645304,0.3270825495756475,0.028461913021460686,0.557021489949274,0.011893424136369754
S2,1000,1.0,0.2,50,1.0,0.0,0.6171699372871068,0.03057227050519576,0.6111091698497033,0.02470113862491652,-0.03473129888486365,0.030351280478700362,0.5763778709648397,0.011877675055669362
S2,1000,1.0,0.1,50,1.0,0.0,0.6171699372871068,0.03057227050519576,0.614574905752503,0.024701138624916512,-0.03819703478766337,0.030351280478700348,0.5763778709648397,0.011877675055669362
S2,1000,1.0,0.05,50,1.0,0.0,0.6171699372871068,0.03057227050519576,0.6180406416553027,0.02470113862491651,-0.0416627706904631,0.03035128047870035,0.5763778709648397,0.011877675055669362
S2,1000,3.0,0.2,50,1.0,0.0,0.6175736320593535,0.0305199181171842,1.8437278577813219,0.02493554201827845,-1.2665693174155583,0.030470301738530072,0.5771585403657635,0.011481071762763901
S2,1000,3.0,0.1,50,1.0,0.0,0.6175736320593535,0.0305199181171842,1.8448831030822552,0.02493554201827846,-1.2677245627164917,0.030470301738530086,0.5771585403657635,0.011481071762763901
S2,1000,3.0,0.05,50,1.0,0.0,0.6175736320593535,0.0305199181171842,1.8460383483831881,0.02493554201827848,-1.2688798080174246,0.030470301738530117,0.5771585403657635,0.011481071762763901
S3,200,0.3,0.2,50,1.0,0.0,0.6075587329931511,0.04447332582446928,0.1536781925320128,0.034297254378770584,0.36746929638446035,0.03872024095026796,0.521147488916473,0.010908983965119905
S3,200,0.3,0.1,50,1.0,0.0,0.6075587329931511,0.04447332582446928,0.1921863692297876,0.03429725437877059,0.32896111968668557,0.03872024095026796,0.521147488916473,0.010908983965119905
S3,200,0.3,0.05,50,1.0,0.0,0.6075587329931511,0.04447332582446928,0.2306945459275623,0.0342972543787706,0.2904529429889109,0.03872024095026797,0.521147488916473,0.010908983965119905
S3,200,1.0,0.2,50,1.0,0.0,0.6688023025798242,0.05145344315734492,0.3489674106603891,0.04408246277754073,0.1837975961194829,0.04661248848793984,0.532765006779872,0.015502971671418722
S3,200,1.0,0.1,50,1.0,0.0,0.6688023025798242,0.05145344315734492,0.3605198636697216,0.044082462777540736,0.1722451431101505,0.04661248848793985,0.532765006779872,0.015502971671418722
S3,200,1.0,0.05,50,1.0,0.0,0.6688023025798242,0.05145344315734492,0.37207231667905405,0.04408246277754073,0.16069269010081808,0.04661248848793985,0.532765006779872,0.015502971671418722
S3,200,3.0,0.2,50,1.0,0.0,0.6812191470374497,0.04789297963983486,1.133617074654226,0.04711050593054681,-0.5977746384940582,0.048113377361782665,0.5358424361601678,0.017772212645949807
S3,200,3.0,0.1,50,1.0,0.0,0.6812191470374497,0.04789297963983486,1.1374678923240034,0.04711050593054682,-0.6016254561638357,0.04811337736178267,0.5358424361601678,0.017772212645949807
S3,200,3.0,0.05,50,1.0,0.0,0.6812191470374497,0.04789297963983486,1.141318709993781,0.04711050593054679,-0.6054762738336131,0.04811337736178266,0.5358424361601678,0.017772212645949807
S3,500,0.3,0.2,50,1.0,0.0,0.6130146032937255,0.0364397832854938,0.12206676748313595,0.022212600524031702,0.42074880699172,0.0301110359279481,0.5428155744748558,0.012820286417738903
S3,500,0.3,0.1,50,1.0,0.0,0.6130146032937255,0.0364397832854938,0.13747003816224587,0.02221260052403172,0.40534553631261,0.030111035927948122,0.5428155744748558,0.012820286417738903
S3,500,0.3,0.05,50,1.0,0.0,0.6130146032937255,0.0364397832854938,0.15287330884135575,0.022212600524031716,0.3899422656335002,0.03011103592794812,0.5428155744748558,0.012820286417738903
S3,500,1.0,0.2,50,1.0,0.0,0.6383874569296928,0.03432619915957589,0.3668720405064502,0.029632710170800925,0.18949176595407569,0.03357893549769245,0.5563638064605259,0.015155175269649724
S3,500,1.0,0.1,50,1.0,0.0,0.6383874569296928,0.03432619915957589,0.3714930217101832,0.029632710170800925,0.18487078475034274,0.033578935497692454,0.5563638064605259,0.015155175269649724
S3,500,1.0,0.05,50,1.0,0.0,0.6383874569296928,0.03432619915957589,0.37611400291391617,0.029632710170800932,0.1802498035466097,0.033578935497692454,0.5563638064605259,0.015155175269649724
S3,500,3.0,0.2,50,1.0,0.0,0.6406147469450357,0.03383079227059607,1.1797692108669495,0.031194971907425338,-0.6212287358422514,0.03379697201253387,0.5585404750246983,0.015891570112930534
S3,500,3.0,0.1,50,1.0,0.0,0.6406147469450357,0.03383079227059607,1.1813095379348608,0.031194971907425373,-0.6227690629101623,0.0337969720125339,0.5585404750246983,0.015891570112930534
S3,500,3.0,0.05,50,1.0,0.0,0.6406147469450357,0.03383079227059607,1.1828498650027717,0.031194971907425335,-0.6243093899780733,0.03379697201253387,0.5585404750246983,0.015891570112930534
S3,1000,0.3,0.2,50,1.0,0.0,0.6109420721591247,0.026981409744990567,0.12948778692998247,0.0189205949009825,0.43728034261657356,0.024563740507601534,0.5667681295465561,0.011549959163412784
S3,1000,0.3,0.1,50,1.0,0.0,0.6109420721591247,0.026981409744990567,0.13718942226953745,0.018920594900982506,0.4295787072770187,0.024563740507601538,0.5667681295465561,0.011549959163412784
S3,1000,0.3,0.05,50,1.0,0.0,0.6109420721591247,0.026981409744990567,0.14489105760909238,0.018920594900982506,0.4218770719374637,0.024563740507601538,0.5667681295465561,0.011549959163412784
S3,1000,1.0,0.2,50,1.0,0.0,0.6182132329663473,0.025464511240036052,0.3910008826525501,0.02190219707781728,0.18383406877096006,0.025283497782325397,0.5748349514235102,0.012080054464614853
S3,1000,1.0,0.1,50,1.0,0.0,0.6182132329663473,0.025464511240036052,0.3933113732544166,0.021902197077817282,0.18152357816909362,0.0252834977823254,0.5748349514235102,0.012080054464614853
S3,1000,1.0,0.05,50,1.0,0.0,0.6182132329663473,0.025464511240036052,0.3956218638562832,0.02190219707781727,0.17921308756722712,0.025283497782325397,0.5748349514235102,0.012080054464614853
S3,1000,3.0,0.2,50,1.0,0.0,0.6185122307626001,0.02538834556000653,1.2124259714662182,0.021954909465770892,-0.6375408336407229,0.02537027346304936,0.5748851378254954,0.013373479171914183
S3,1000,3.0,0.1,50,1.0,0.0,0.6185122307626001,0.02538834556000653,1.2131961350001739,0.021954909465770903,-0.6383109971746784,0.025370273463049358,0.5748851378254954,0.013373479171914183
S3,1000,3.0,0.05,50,1.0,0.0,0.6185122307626001,0.02538834556000653,1.2139662985341293,0.021954909465770882,-0.6390811607086339,0.025370273463049358,0.5748851378254954,0.013373479171914183
S4,200,0.3,0.2,50,1.0,0.0,0.5824575353764656,0.04657893870599614,0.2745947623059519,0.03807797379545932,0.24141563122362417,0.0429707081887978,0.5160103935295761,0.010044681068628622
S4,200,0.3,0.1,50,1.0,0.0,0.5824575353764656,0.04657893870599614,0.33235702735261413,0.03807797379545932,0.18365336617696204,0.04297070818879779,0.5160103935295761,0.010044681068628622
S4,200,0.3,0.05,50,1.0,0.0,0.5824575353764656,0.04657893870599614,0.3901192923992761,0.03807797379545931,0.12589110113029997,0.04297070818879779,0.5160103935295761,0.010044681068628622
S4,200,1.0,0.2,50,1.0,0.0,0.6419201102363417,0.05770598490386771,0.590063452143301,0.04376324732534621,-0.06492342928074257,0.050059496657664904,0.5251400228625586,0.015789390118429943
