scenario,method,n_train,eta,delta,n_rep,coverage_mean,coverage_std,cvar10_value_mean,cvar10_value_std,emp_nominal_value_mean,emp_nominal_value_std,emp_robust_value_mean,emp_robust_value_std,emp_true_value_mean,emp_true_value_std,epsilon_mean,epsilon_std,gamma_u_mean,gamma_u_std,gap_mean,gap_std,hotspot_treat1_rate_mean,hotspot_treat1_rate_std,kl_to_prior_mean,kl_to_prior_std,lcb_mean,lcb_std,q05_value_mean,q05_value_std,selected_u_raw_mean,selected_u_raw_std,true_regret_mean,true_regret_std,true_value_mean,true_value_std
S0,owl_standard,200,nan,nan,50,nan,nan,0.2860700349483713,0.03672568433223879,0.6630606913842872,0.03773051497051601,0.6630606913842872,0.03773051497051601,0.6630606913842872,0.03773051497051601,0.5,0.0,0.0,0.0,nan,nan,0.1793853333333333,0.05420060210022773,nan,nan,nan,nan,0.3003968578850883,0.04044618528838074,0.0,0.0,-0.0004388365444086006,0.005336263593581248,0.5472132368234319,0.01431627924285359
S0,owl_clipped,200,nan,nan,50,nan,nan,0.28986909632981606,0.03824681623843946,0.666204359314998,0.034094530101822236,0.666204359314998,0.034094530101822236,0.666204359314998,0.034094530101822236,0.5,0.0,0.0,0.0,nan,nan,0.18085533333333334,0.0554060237276248,nan,nan,nan,nan,0.3047784830470502,0.042203730553115264,0.0,0.0,-0.0011661441829543828,0.007377235042653555,0.5479405444619778,0.014871643358487037
S0,owl_robust_map,200,nan,nan,50,nan,nan,0.2890487378104741,0.03672604466185668,0.6633154109622655,0.03658720086623891,0.6633154109622655,0.03658720086623891,0.6633154109622655,0.03658720086623891,0.5,0.0,0.0,0.0,nan,nan,0.182042,0.055587570108495424,nan,nan,nan,nan,0.3036621106342184,0.04009359655783469,0.0,0.0,-0.000848287489019548,0.006533666971899663,0.5476226877680429,0.014881358250211474
S0,oracle_true_owl,200,nan,nan,50,nan,nan,0.28567727046176467,0.03698612610774422,0.6615098284049933,0.03939923435637367,0.6615098284049933,0.03939923435637367,0.6615098284049933,0.03939923435637367,0.5,0.0,0.0,0.0,nan,nan,0.181264,0.05466771437522642,nan,nan,nan,nan,0.30002957518257667,0.041098760954212415,0.0,0.0,0.0,0.0,0.5467744002790234,0.013827055068779306
S0,pac_nominal_gibbs,200,0.3,nan,50,nan,nan,0.3371004738392835,0.02900783074453896,0.634301475077689,0.03302554282017878,0.634301475077689,0.03302554282017878,0.634301475077689,0.03302554282017878,0.5,0.0,0.0,0.0,nan,nan,0.19698140540866174,0.042675254961096795,1.0859322214653229,0.2899975677686827,nan,nan,0.34964352156457434,0.030210591300137257,0.0,0.0,0.010320179475705212,0.0060785951069573145,0.5364542208033182,0.012429451316650221
S0,pac_robust_gibbs,200,0.3,0.2,50,1.0,0.0,0.3371004738392835,0.02900783074453896,0.634301475077689,0.03302554282017878,0.634301475077689,0.03302554282017878,0.634301475077689,0.03302554282017878,0.5,0.0,0.0,0.0,0.06699841685560988,0.02320281476190624,0.19698140540866174,0.042675254961096795,1.0859322214653229,0.2899975677686827,0.4694558039477082,0.027094817509751547,0.34964352156457434,0.030210591300137257,0.0,0.0,0.010320179475705212,0.0060785951069573145,0.5364542208033182,0.012429451316650221
S0,pac_robust_gibbs,200,0.3,0.1,50,1.0,0.0,0.3371004738392835,0.02900783074453896,0.634301475077689,0.03302554282017878,0.634301475077689,0.03302554282017878,0.634301475077689,0.03302554282017878,0.5,0.0,0.0,0.0,0.09010332287427474,0.023202814761906238,0.19698140540866174,0.042675254961096795,1.0859322214653229,0.2899975677686827,0.44635089792904337,0.027094817509751543,0.34964352156457434,0.030210591300137257,0.0,0.0,0.010320179475705212,0.0060785951069573145,0.5364542208033182,0.012429451316650221
S0,pac_robust_gibbs,200,0.3,0.05,50,1.0,0.0,0.3371004738392835,0.02900783074453896,0.634301475077689,0.03302554282017878,0.634301475077689,0.03302554282017878,0.634301475077689,0.03302554282017878,0.5,0.0,0.0,0.0,0.11320822889293955,0.023202814761906238,0.19698140540866174,0.042675254961096795,1.0859322214653229,0.2899975677686827,0.42324599191037854,0.027094817509751547,0.34964352156457434,0.030210591300137257,0.0,0.0,0.010320179475705212,0.0060785951069573145,0.5364542208033182,0.012429451316650221
S0,pac_nominal_gibbs,200,1.0,nan,50,nan,nan,0.3047405216581552,0.03695637469788239,0.6726109044271137,0.033065474540921194,0.6726109044271137,0.033065474540921194,0.6726109044271137,0.033065474540921194,0.5,0.0,0.0,0.0,nan,nan,0.1841028150403647,0.0550386463106183,2.957820796254028,0.3800879024560374,nan,nan,0.31999693748280655,0.03983349300383887,0.0,0.0,-0.00020763959735096372,0.007005026169716803,0.5469820398763744,0.015647388338223024
S0,pac_robust_gibbs,200,1.0,0.2,50,1.0,0.0,0.3047405216581552,0.03695637469788239,0.6726109044271137,0.033065474540921194,0.6726109044271137,0.033065474540921194,0.6726109044271137,0.033065474540921194,0.5,0.0,0.0,0.0,0.170043722536142,0.027320932278379607,0.1841028150403647,0.0550386463106183,2.957820796254028,0.3800879024560374,0.37693831734023225,0.031578613588915214,0.31999693748280655,0.03983349300383887,0.0,0.0,-0.00020763959735096372,0.007005026169716803,0.5469820398763744,0.015647388338223024
