scenario,method,n_train,eta,delta,n_rep,coverage_mean,coverage_std,cvar10_value_mean,cvar10_value_std,emp_nominal_value_mean,emp_nominal_value_std,emp_robust_value_mean,emp_robust_value_std,emp_true_value_mean,emp_true_value_std,epsilon_mean,epsilon_std,gamma_u_mean,gamma_u_std,gap_mean,gap_std,hotspot_treat1_rate_mean,hotspot_treat1_rate_std,kl_to_prior_mean,kl_to_prior_std,lcb_mean,lcb_std,q05_value_mean,q05_value_std,selected_u_raw_mean,selected_u_raw_std,true_regret_mean,true_regret_std,true_value_mean,true_value_std
S0,pac_robust_gibbs,200,1.0,0.1,25,1.0,0.0,0.286565972732582,0.03722909295469277,0.6619986980023733,0.034547562428089436,0.6619986980023733,0.034547562428089436,0.6619986980023733,0.034547562428089436,0.5,0.0,0.0,0.0,0.17498351473233587,0.03161853564795608,0.18104456653024573,0.05108434075844574,2.08009124890352,0.3747467967964898,0.36817193458339775,0.03376728219094223,0.30095316162569324,0.041272743835766,0.0,0.0,0.00010940806029313688,0.004072001382583251,0.5431554493157337,0.01247620574439421
S0,pac_robust_gibbs,200,1.0,0.05,25,1.0,0.0,0.286565972732582,0.03722909295469277,0.6619986980023733,0.034547562428089436,0.6619986980023733,0.034547562428089436,0.6619986980023733,0.034547562428089436,0.5,0.0,0.0,0.0,0.18191498653793534,0.03161853564795609,0.18104456653024573,0.05108434075844574,2.08009124890352,0.3747467967964898,0.3612404627777983,0.03376728219094224,0.30095316162569324,0.041272743835766,0.0,0.0,0.00010940806029313688,0.004072001382583251,0.5431554493157337,0.01247620574439421
S0,pac_nominal_gibbs,200,3.0,nan,25,nan,nan,0.2825573231916101,0.0364598652307441,0.664861047640613,0.03418034763136374,0.664861047640613,0.03418034763136374,0.664861047640613,0.03418034763136374,0.5,0.0,0.0,0.0,nan,nan,0.1803899366627846,0.05239436393135707,2.533051220425555,0.5060996132680845,nan,nan,0.29676707438365335,0.04047112427238417,0.0,0.0,-0.0007565212836285484,0.004368949127676986,0.5440213786596553,0.012891980132839936
S0,pac_robust_gibbs,200,3.0,0.2,25,1.0,0.0,0.2825573231916101,0.0364598652307441,0.664861047640613,0.03418034763136374,0.664861047640613,0.03418034763136374,0.664861047640613,0.03418034763136374,0.5,0.0,0.0,0.0,0.6429686281285742,0.03156427251351151,0.1803899366627846,0.05239436393135707,2.533051220425555,0.5060996132680845,-0.09894724946891893,0.03406501650622971,0.29676707438365335,0.04047112427238417,0.0,0.0,-0.0007565212836285484,0.004368949127676986,0.5440213786596553,0.012891980132839936
S0,pac_robust_gibbs,200,3.0,0.1,25,1.0,0.0,0.2825573231916101,0.0364598652307441,0.664861047640613,0.03418034763136374,0.664861047640613,0.03418034763136374,0.664861047640613,0.03418034763136374,0.5,0.0,0.0,0.0,0.6452791187304406,0.0315642725135115,0.1803899366627846,0.05239436393135707,2.533051220425555,0.5060996132680845,-0.1012577400707854,0.03406501650622971,0.29676707438365335,0.04047112427238417,0.0,0.0,-0.0007565212836285484,0.004368949127676986,0.5440213786596553,0.012891980132839936
S0,pac_robust_gibbs,200,3.0,0.05,25,1.0,0.0,0.2825573231916101,0.0364598652307441,0.664861047640613,0.03418034763136374,0.664861047640613,0.03418034763136374,0.664861047640613,0.03418034763136374,0.5,0.0,0.0,0.0,0.6475896093323071,0.0315642725135115,0.1803899366627846,0.05239436393135707,2.533051220425555,0.5060996132680845,-0.10356823067265192,0.03406501650622971,0.29676707438365335,0.04047112427238417,0.0,0.0,-0.0007565212836285484,0.004368949127676986,0.5440213786596553,0.012891980132839936
S0,owl_standard,500,nan,nan,25,nan,nan,0.33011964075855116,0.025118938041440074,0.6200814101984007,0.026439183419480684,0.6200814101984007,0.026439183419480684,0.6200814101984007,0.026439183419480684,0.5,0.0,0.0,0.0,nan,nan,0.156744,0.041035937806594196,nan,nan,nan,nan,0.3494287225296645,0.0270548814099364,0.0,0.0,0.00014324416943027442,0.003888929424197973,0.5654072201392587,0.010198288721319376
S0,owl_clipped,500,nan,nan,25,nan,nan,0.328454410667701,0.023513252493991152,0.6186063221376951,0.027573184211565273,0.6186063221376951,0.027573184211565273,0.6186063221376951,0.027573184211565273,0.5,0.0,0.0,0.0,nan,nan,0.155714,0.03892731346154437,nan,nan,nan,nan,0.34795959564771833,0.02585304947901605,0.0,0.0,0.0004416280726768651,0.006288035750901392,0.565108836236012,0.010185612923153937
S0,owl_robust_map,500,nan,nan,25,nan,nan,0.3258324495114121,0.021076191062956454,0.616255313306525,0.02359928749146632,0.616255313306525,0.02359928749146632,0.616255313306525,0.02359928749146632,0.5,0.0,0.0,0.0,nan,nan,0.156754,0.039288290558383926,nan,nan,nan,nan,0.3449488721317329,0.022870779998225305,0.0,0.0,0.0010962445241579654,0.005209436696455422,0.564454219784531,0.009669376892760618
S0,oracle_true_owl,500,nan,nan,25,nan,nan,0.32960183061703974,0.02507870861760143,0.6198783816776012,0.024908130515177533,0.6198783816776012,0.024908130515177533,0.6198783816776012,0.024908130515177533,0.5,0.0,0.0,0.0,nan,nan,0.15424,0.041375042799575046,nan,nan,nan,nan,0.3487107379031276,0.02679377023799201,0.0,0.0,0.0,0.0,0.5655504643086889,0.009924247897784583
S0,pac_nominal_gibbs,500,0.3,nan,25,nan,nan,0.3402795326783778,0.023760610065484564,0.6174388781690258,0.027480520529199543,0.6174388781690258,0.027480520529199543,0.6174388781690258,0.027480520529199543,0.5,0.0,0.0,0.0,nan,nan,0.15954432572059704,0.038381316980949945,1.6315766084553942,0.24567826404848078,nan,nan,0.3593462339807561,0.025002660880505206,0.0,0.0,0.0023288387137877374,0.005130691428818114,0.5632216255949012,0.00943475741252963
S0,pac_robust_gibbs,500,0.3,0.2,25,1.0,0.0,0.3402795326783778,0.023760610065484564,0.6174388781690258,0.027480520529199543,0.6174388781690258,0.027480520529199543,0.6174388781690258,0.027480520529199543,0.5,0.0,0.0,0.0,0.06399627437106867,0.022498865365399853,0.15954432572059704,0.038381316980949945,1.6315766084553942,0.24567826404848078,0.4992253512238326,0.02510025853367342,0.3593462339807561,0.025002660880505206,0.0,0.0,0.0023288387137877374,0.005130691428818114,0.5632216255949012,0.00943475741252963
S0,pac_robust_gibbs,500,0.3,0.1,25,1.0,0.0,0.3402795326783778,0.023760610065484564,0.6174388781690258,0.027480520529199543,0.6174388781690258,0.027480520529199543,0.6174388781690258,0.027480520529199543,0.5,0.0,0.0,0.0,0.07323823677853461,0.022498865365399856,0.15954432572059704,0.038381316980949945,1.6315766084553942,0.24567826404848078,0.48998338881636655,0.02510025853367342,0.3593462339807561,0.025002660880505206,0.0,0.0,0.0023288387137877374,0.005130691428818114,0.5632216255949012,0.00943475741252963
S0,pac_robust_gibbs,500,0.3,0.05,25,1.0,0.0,0.3402795326783778,0.023760610065484564,0.6174388781690258,0.027480520529199543,0.6174388781690258,0.027480520529199543,0.6174388781690258,0.027480520529199543,0.5,0.0,0.0,0.0,0.08248019918600054,0.02249886536539986,0.15954432572059704,0.038381316980949945,1.6315766084553942,0.24567826404848078,0.4807414264089007,0.02510025853367342,0.3593462339807561,0.025002660880505206,0.0,0.0,0.0023288387137877374,0.005130691428818114,0.5632216255949012,0.00943475741252963
S0,pac_nominal_gibbs,500,1.0,nan,25,nan,nan,0.3355094029993795,0.022392185268350837,0.6212124032790212,0.026721960362219098,0.6212124032790212,0.026721960362219098,0.6212124032790212,0.026721960362219098,0.5,0.0,0.0,0.0,nan,nan,0.15695265826338978,0.03923380366167829,2.074598749475909,0.26999272294758103,nan,nan,0.35530536149389014,0.024091058742163576,0.0,0.0,-0.00040899257976355406,0.004491109021351786,0.5659594568884525,0.00958259261967813
S0,pac_robust_gibbs,500,1.0,0.2,25,1.0,0.0,0.3355094029993795,0.022392185268350837,0.6212124032790212,0.026721960362219098,0.6212124032790212,0.026721960362219098,0.6212124032790212,0.026721960362219098,0.5,0.0,0.0,0.0,0.20948320025707134,0.025175775229910567,0.15695265826338978,0.03923380366167829,2.074598749475909,0.26999272294758103,0.3564762566313812,0.02633154441263625,0.35530536149389014,0.024091058742163576,0.0,0.0,-0.00040899257976355406,0.004491109021351786,0.5659594568884525,0.00958259261967813
S0,pac_robust_gibbs,500,1.0,0.1,25,1.0,0.0,0.3355094029993795,0.022392185268350837,0.6212124032790212,0.026721960362219098,0.6212124032790212,0.026721960362219098,0.6212124032790212,0.026721960362219098,0.5,0.0,0.0,0.0,0.21225578897931108,0.025175775229910567,0.15695265826338978,0.03923380366167829,2.074598749475909,0.26999272294758103,0.3537036679091415,0.02633154441263625,0.35530536149389014,0.024091058742163576,0.0,0.0,-0.00040899257976355406,0.004491109021351786,0.5659594568884525,0.00958259261967813
S0,pac_robust_gibbs,500,1.0,0.05,25,1.0,0.0,0.3355094029993795,0.022392185268350837,0.6212124032790212,0.026721960362219098,0.6212124032790212,0.026721960362219098,0.6212124032790212,0.026721960362219098,0.5,0.0,0.0,0.0,0.21502837770155087,0.02517577522991057,0.15695265826338978,0.03923380366167829,2.074598749475909,0.26999272294758103,0.35093107918690164,0.026331544412636257,0.35530536149389014,0.024091058742163576,0.0,0.0,-0.00040899257976355406,0.004491109021351786,0.5659594568884525,0.00958259261967813
S0,pac_nominal_gibbs,500,3.0,nan,25,nan,nan,0.3341420991097548,0.021710256456843595,0.6219275623986185,0.02659440261838831,0.6219275623986185,0.02659440261838831,0.6219275623986185,0.02659440261838831,0.5,0.0,0.0,0.0,nan,nan,0.15690389105792746,0.03877043657915476,2.3588653204768324,0.46185329225118643,nan,nan,0.35403602002810125,0.023525588500540005,0.0,0.0,-0.0008167107948155295,0.0045456946662999565,0.5663671751035045,0.009439577822050167
S0,pac_robust_gibbs,500,3.0,0.2,25,1.0,0.0,0.3341420991097548,0.021710256456843595,0.6219275623986185,0.02659440261838831,0.6219275623986185,0.02659440261838831,0.6219275623986185,0.02659440261838831,0.5,0.0,0.0,0.0,0.6997306836821007,0.02546423949709954,0.15690389105792746,0.03877043657915476,2.3588653204768324,0.46185329225118643,-0.13336350857859613,0.02652788116388475,0.35403602002810125,0.023525588500540005,0.0,0.0,-0.0008167107948155295,0.0045456946662999565,0.5663671751035045,0.009439577822050167
S0,pac_robust_gibbs,500,3.0,0.1,25,1.0,0.0,0.3341420991097548,0.021710256456843595,0.6219275623986185,0.02659440261838831,0.6219275623986185,0.02659440261838831,0.6219275623986185,0.02659440261838831,0.5,0.0,0.0,0.0,0.7006548799228473,0.025464239497099545,0.15690389105792746,0.03877043657915476,2.3588653204768324,0.46185329225118643,-0.13428770481934274,0.026527881163884756,0.35403602002810125,0.023525588500540005,0.0,0.0,-0.0008167107948155295,0.0045456946662999565,0.5663671751035045,0.009439577822050167
S0,pac_robust_gibbs,500,3.0,0.05,25,1.0,0.0,0.3341420991097548,0.021710256456843595,0.6219275623986185,0.02659440261838831,0.6219275623986185,0.02659440261838831,0.6219275623986185,0.02659440261838831,0.5,0.0,0.0,0.0,0.7015790761635937,0.02546423949709956,0.15690389105792746,0.03877043657915476,2.3588653204768324,0.46185329225118643,-0.13521190106008935,0.026527881163884773,0.35403602002810125,0.023525588500540005,0.0,0.0,-0.0008167107948155295,0.0045456946662999565,0.5663671751035045,0.009439577822050167
