scenario,method,n_train,eta,delta,n_rep,coverage_mean,coverage_std,cvar10_value_mean,cvar10_value_std,emp_nominal_value_mean,emp_nominal_value_std,emp_robust_value_mean,emp_robust_value_std,emp_true_value_mean,emp_true_value_std,epsilon_mean,epsilon_std,gamma_u_mean,gamma_u_std,gap_mean,gap_std,hotspot_treat1_rate_mean,hotspot_treat1_rate_std,kl_to_prior_mean,kl_to_prior_std,lcb_mean,lcb_std,q05_value_mean,q05_value_std,selected_u_raw_mean,selected_u_raw_std,true_regret_mean,true_regret_std,true_value_mean,true_value_std
S0,owl_standard,200,nan,nan,80,nan,nan,0.2908922680635932,0.038202947568959096,0.6604723039061002,0.03743765560080598,0.6604723039061002,0.03743765560080598,0.6604723039061002,0.03743765560080598,0.5,0.0,0.0,0.0,nan,nan,0.1866790625,0.05437210627302996,nan,nan,nan,nan,0.3059997510969462,0.04198182307019773,0.0,0.0,-9.625510820691075e-05,0.004597287293040791,0.5474088159492748,0.015468227110665962
S0,owl_clipped,200,nan,nan,80,nan,nan,0.29184844997218595,0.03930300879154912,0.6608525446490713,0.0383362282192184,0.6608525446490713,0.0383362282192184,0.6608525446490713,0.0383362282192184,0.5,0.0,0.0,0.0,nan,nan,0.18708,0.05378352581166632,nan,nan,nan,nan,0.30700337279385187,0.04315666068953385,0.0,0.0,-0.00018378990921593118,0.006034904023586896,0.5474963507502839,0.015561209195621751
S0,owl_robust_map,200,nan,nan,80,nan,nan,0.2920621507996972,0.03922349601400041,0.6627942821697375,0.038406204730885976,0.6627942821697375,0.038406204730885976,0.6627942821697375,0.038406204730885976,0.5,0.0,0.0,0.0,nan,nan,0.18955656250000003,0.055264071428751255,nan,nan,nan,nan,0.30732484350513606,0.04280625126167083,0.0,0.0,6.33449925614496e-05,0.005040256298047802,0.5472492158485065,0.015580539005017519
S0,oracle_true_owl,200,nan,nan,80,nan,nan,0.2908205144135101,0.0357923591140351,0.6619083637676131,0.03521034963282164,0.6619083637676131,0.03521034963282164,0.6619083637676131,0.03521034963282164,0.5,0.0,0.0,0.0,nan,nan,0.1872790625,0.053343157866764655,nan,nan,nan,nan,0.30614369990861084,0.03956310224009916,0.0,0.0,0.0,0.0,0.5473125608410679,0.014702686883771883
S0,pac_nominal_gibbs,200,0.3,nan,80,nan,nan,0.3294172468396744,0.03243444849208998,0.6404723701546018,0.038308549448593736,0.6404723701546018,0.038308549448593736,0.6404723701546018,0.038308549448593736,0.5,0.0,0.0,0.0,nan,nan,0.1977524088488168,0.04453196433302737,1.0605180388477986,0.2786671508305088,nan,nan,0.34298862638266525,0.03424081193097232,0.0,0.0,0.007839357792201596,0.00563507905309742,0.5394732030488664,0.013834841215427796
S0,pac_robust_gibbs,200,0.3,0.2,80,0.9875,0.11180339887498947,0.3294172468396744,0.03243444849208998,0.6404723701546018,0.038308549448593736,0.6404723701546018,0.038308549448593736,0.6404723701546018,0.038308549448593736,0.5,0.0,0.0,0.0,0.06299936460366118,0.0252734651996365,0.1977524088488168,0.04453196433302737,1.0605180388477986,0.2786671508305088,0.4764738384452052,0.031275156525175915,0.34298862638266525,0.03424081193097232,0.0,0.0,0.007839357792201596,0.00563507905309742,0.5394732030488664,0.013834841215427796
S0,pac_robust_gibbs,200,0.3,0.1,80,1.0,0.0,0.3294172468396744,0.03243444849208998,0.6404723701546018,0.038308549448593736,0.6404723701546018,0.038308549448593736,0.6404723701546018,0.038308549448593736,0.5,0.0,0.0,0.0,0.08610427062232603,0.025273465199636493,0.1977524088488168,0.04453196433302737,1.0605180388477986,0.2786671508305088,0.4533689324265403,0.03127515652517591,0.34298862638266525,0.03424081193097232,0.0,0.0,0.007839357792201596,0.00563507905309742,0.5394732030488664,0.013834841215427796
S0,pac_robust_gibbs,200,0.3,0.05,80,1.0,0.0,0.3294172468396744,0.03243444849208998,0.6404723701546018,0.038308549448593736,0.6404723701546018,0.038308549448593736,0.6404723701546018,0.038308549448593736,0.5,0.0,0.0,0.0,0.10920917664099088,0.025273465199636493,0.1977524088488168,0.04453196433302737,1.0605180388477986,0.2786671508305088,0.43026402640787537,0.03127515652517591,0.34298862638266525,0.03424081193097232,0.0,0.0,0.007839357792201596,0.00563507905309742,0.5394732030488664,0.013834841215427796
S0,pac_nominal_gibbs,200,1.0,nan,80,nan,nan,0.30454348270587434,0.037116640393820684,0.6670440553804586,0.03696347403275179,0.6670440553804586,0.03696347403275179,0.6670440553804586,0.03696347403275179,0.5,0.0,0.0,0.0,nan,nan,0.18803123355846166,0.053369180420463284,2.32222615612649,0.3431937928418274,nan,nan,0.3202275036127279,0.04004850960384576,0.0,0.0,-0.0003425874041022306,0.004917201983274672,0.5476551482451703,0.015462352379154162
S0,pac_robust_gibbs,200,1.0,0.2,80,1.0,0.0,0.30454348270587434,0.037116640393820684,0.6670440553804586,0.03696347403275179,0.6670440553804586,0.03696347403275179,0.6670440553804586,0.03696347403275179,0.5,0.0,0.0,0.0,0.16992773355031746,0.031101618500499948,0.18803123355846166,0.053369180420463284,2.32222615612649,0.3431937928418274,0.3777274146948527,0.03582089902017926,0.3202275036127279,0.04004850960384576,0.0,0.0,-0.0003425874041022306,0.004917201983274672,0.5476551482451703,0.015462352379154162
S0,pac_robust_gibbs,200,1.0,0.1,80,1.0,0.0,0.30454348270587434,0.037116640393820684,0.6670440553804586,0.03696347403275179,0.6670440553804586,0.03696347403275179,0.6670440553804586,0.03696347403275179,0.5,0.0,0.0,0.0,0.1768592053559169,0.031101618500499948,0.18803123355846166,0.053369180420463284,2.32222615612649,0.3431937928418274,0.3707959428892532,0.03582089902017926,0.3202275036127279,0.04004850960384576,0.0,0.0,-0.0003425874041022306,0.004917201983274672,0.5476551482451703,0.015462352379154162
S0,pac_robust_gibbs,200,1.0,0.05,80,1.0,0.0,0.30454348270587434,0.037116640393820684,0.6670440553804586,0.03696347403275179,0.6670440553804586,0.03696347403275179,0.6670440553804586,0.03696347403275179,0.5,0.0,0.0,0.0,0.18379067716151637,0.031101618500499945,0.18803123355846166,0.053369180420463284,2.32222615612649,0.3431937928418274,0.36386447108365383,0.03582089902017925,0.3202275036127279,0.04004850960384576,0.0,0.0,-0.0003425874041022306,0.004917201983274672,0.5476551482451703,0.015462352379154162
S0,pac_nominal_gibbs,200,3.0,nan,80,nan,nan,0.2986490102497936,0.037353076451487534,0.6699195948137673,0.03594304123818089,0.6699195948137673,0.03594304123818089,0.6699195948137673,0.03594304123818089,0.5,0.0,0.0,0.0,nan,nan,0.18775064026686206,0.05518578998308841,2.772194461993814,0.5317818841991159,nan,nan,0.3142332363895141,0.040612359507858874,0.0,0.0,-0.0008738336793655641,0.006585759911929538,0.5481863945204335,0.01605087896687321
S0,pac_robust_gibbs,200,3.0,0.2,80,1.0,0.0,0.2986490102497936,0.037353076451487534,0.6699195948137673,0.03594304123818089,0.6699195948137673,0.03594304123818089,0.6699195948137673,0.03594304123818089,0.5,0.0,0.0,0.0,0.6428722409547594,0.03119532444254569,0.18775064026686206,0.05518578998308841,2.772194461993814,0.5317818841991159,-0.09468584643432584,0.03605157202822962,0.3142332363895141,0.040612359507858874,0.0,0.0,-0.0008738336793655641,0.006585759911929538,0.5481863945204335,0.01605087896687321
S0,pac_robust_gibbs,200,3.0,0.1,80,1.0,0.0,0.2986490102497936,0.037353076451487534,0.6699195948137673,0.03594304123818089,0.6699195948137673,0.03594304123818089,0.6699195948137673,0.03594304123818089,0.5,0.0,0.0,0.0,0.6451827315566258,0.031195324442545695,0.18775064026686206,0.05518578998308841,2.772194461993814,0.5317818841991159,-0.09699633703619233,0.036051572028229624,0.3142332363895141,0.040612359507858874,0.0,0.0,-0.0008738336793655641,0.006585759911929538,0.5481863945204335,0.01605087896687321
