scenario,n_train,eta,delta,n_rep,coverage_mean,coverage_std,emp_robust_value_mean,emp_robust_value_std,gap_mean,gap_std,lcb_mean,lcb_std,true_value_mean,true_value_std
S0,200,0.3,0.2,80,0.9875,0.11180339887498947,0.6404723701546018,0.038308549448593736,0.06299936460366118,0.0252734651996365,0.4764738384452052,0.031275156525175915,0.5394732030488664,0.013834841215427796
S0,200,0.3,0.1,80,1.0,0.0,0.6404723701546018,0.038308549448593736,0.08610427062232603,0.025273465199636493,0.4533689324265403,0.03127515652517591,0.5394732030488664,0.013834841215427796
S0,200,0.3,0.05,80,1.0,0.0,0.6404723701546018,0.038308549448593736,0.10920917664099088,0.025273465199636493,0.43026402640787537,0.03127515652517591,0.5394732030488664,0.013834841215427796
S0,200,1.0,0.2,80,1.0,0.0,0.6670440553804586,0.03696347403275179,0.16992773355031746,0.031101618500499948,0.3777274146948527,0.03582089902017926,0.5476551482451703,0.015462352379154162
S0,200,1.0,0.1,80,1.0,0.0,0.6670440553804586,0.03696347403275179,0.1768592053559169,0.031101618500499948,0.3707959428892532,0.03582089902017926,0.5476551482451703,0.015462352379154162
S0,200,1.0,0.05,80,1.0,0.0,0.6670440553804586,0.03696347403275179,0.18379067716151637,0.031101618500499945,0.36386447108365383,0.03582089902017925,0.5476551482451703,0.015462352379154162
S0,200,3.0,0.2,80,1.0,0.0,0.6699195948137673,0.03594304123818089,0.6428722409547594,0.03119532444254569,-0.09468584643432584,0.03605157202822962,0.5481863945204335,0.01605087896687321
S0,200,3.0,0.1,80,1.0,0.0,0.6699195948137673,0.03594304123818089,0.6451827315566258,0.031195324442545695,-0.09699633703619233,0.036051572028229624,0.5481863945204335,0.01605087896687321
S0,200,3.0,0.05,80,1.0,0.0,0.6699195948137673,0.03594304123818089,0.6474932221584924,0.031195324442545688,-0.09930682763805881,0.03605157202822962,0.5481863945204335,0.01605087896687321
S0,500,0.3,0.2,80,1.0,0.0,0.6276379156989558,0.022032324774690675,0.06149958053335667,0.01905584306758778,0.5050637166645918,0.020614699251735487,0.5665632971979484,0.00919985367568334
S0,500,0.3,0.1,80,1.0,0.0,0.6276379156989558,0.022032324774690675,0.0707415429408226,0.019055843067587785,0.4958217542571258,0.020614699251735494,0.5665632971979484,0.00919985367568334
S0,500,0.3,0.05,80,1.0,0.0,0.6276379156989558,0.022032324774690675,0.07998350534828855,0.01905584306758778,0.48657979184965994,0.02061469925173549,0.5665632971979484,0.00919985367568334
S0,500,1.0,0.2,80,1.0,0.0,0.6328679861021949,0.021350531433708932,0.2034724829853062,0.020395239294875515,0.3661882410439999,0.02111357022485477,0.5696607240293061,0.009902669106516998
S0,500,1.0,0.1,80,1.0,0.0,0.6328679861021949,0.021350531433708932,0.20624507170754597,0.020395239294875512,0.3634156523217601,0.02111357022485476,0.5696607240293061,0.009902669106516998
S0,500,1.0,0.05,80,1.0,0.0,0.6328679861021949,0.021350531433708932,0.20901766042978576,0.020395239294875512,0.36064306359952036,0.02111357022485476,0.5696607240293061,0.009902669106516998
S0,500,3.0,0.2,80,1.0,0.0,0.6335525396514804,0.02135505449969705,0.6921009168282442,0.020394980087467384,-0.12236896632303725,0.021261984461982852,0.569731950505207,0.01027898946840944
S0,500,3.0,0.1,80,1.0,0.0,0.6335525396514804,0.02135505449969705,0.6930251130689908,0.02039498008746737,-0.12329316256378382,0.021261984461982842,0.569731950505207,0.01027898946840944
S0,500,3.0,0.05,80,1.0,0.0,0.6335525396514804,0.02135505449969705,0.6939493093097372,0.020394980087467377,-0.12421735880453041,0.021261984461982842,0.569731950505207,0.01027898946840944
S0,1000,0.3,0.2,80,1.0,0.0,0.6172880896395636,0.017615876022241444,0.06554721396117932,0.016520533086016045,0.5166834013872267,0.017344826927453826,0.582230615348406,0.0069440189126475154
S0,1000,0.3,0.1,80,1.0,0.0,0.6172880896395636,0.017615876022241444,0.0701681951649123,0.016520533086016045,0.5120624201834938,0.017344826927453823,0.582230615348406,0.0069440189126475154
S0,1000,0.3,0.05,80,1.0,0.0,0.6172880896395636,0.017615876022241444,0.07478917636864527,0.01652053308601604,0.5074414389797607,0.017344826927453823,0.582230615348406,0.0069440189126475154
S0,1000,1.0,0.2,80,1.0,0.0,0.6185364728969042,0.017388323354123773,0.22293046846626835,0.01672998884277989,0.360209801664033,0.017396781987251978,0.5831402701303012,0.006601354310341408
S0,1000,1.0,0.1,80,1.0,0.0,0.6185364728969042,0.017388323354123773,0.22431676282738824,0.016729988842779892,0.358823507302913,0.017396781987251985,0.5831402701303012,0.006601354310341408
S0,1000,1.0,0.05,80,1.0,0.0,0.6185364728969042,0.017388323354123773,0.22570305718850808,0.01672998884277989,0.3574372129417932,0.01739678198725198,0.5831402701303012,0.006601354310341408
S0,1000,3.0,0.2,80,1.0,0.0,0.61881441195803,0.017356206691931803,0.7173166650467804,0.016717624090837522,-0.1341057575954687,0.017371361145718217,0.5832109074513117,0.006624163106924645
S0,1000,3.0,0.1,80,1.0,0.0,0.61881441195803,0.017356206691931803,0.7177787631671537,0.016717624090837522,-0.134567855715842,0.017371361145718214,0.5832109074513117,0.006624163106924645
S0,1000,3.0,0.05,80,1.0,0.0,0.61881441195803,0.017356206691931803,0.718240861287527,0.016717624090837515,-0.1350299538362153,0.017371361145718214,0.5832109074513117,0.006624163106924645
S2,200,0.3,0.2,80,1.0,0.0,0.6068157938126391,0.05443884257512331,0.2550729494503563,0.0388648710352902,0.26204824035989127,0.04925647817489925,0.5171211898102477,0.013242385520637931
S2,200,0.3,0.1,80,1.0,0.0,0.6068157938126391,0.05443884257512331,0.31283521449701845,0.0388648710352902,0.20428597531322917,0.04925647817489924,0.5171211898102477,0.013242385520637931
S2,200,0.3,0.05,80,1.0,0.0,0.6068157938126391,0.05443884257512331,0.37059747954368055,0.03886487103529019,0.14652371026656705,0.04925647817489923,0.5171211898102477,0.013242385520637931
S2,200,1.0,0.2,80,1.0,0.0,0.6612724490643219,0.06168396547536507,0.5685017637729739,0.04358952797261557,-0.042673645244485525,0.05663536101689801,0.5258281185284883,0.019354559173680144
S2,200,1.0,0.1,80,1.0,0.0,0.6612724490643219,0.06168396547536507,0.5858304432869726,0.04358952797261557,-0.060002324758484174,0.056635361016898006,0.5258281185284883,0.019354559173680144
S2,200,1.0,0.05,80,1.0,0.0,0.6612724490643219,0.06168396547536507,0.6031591228009712,0.04358952797261556,-0.07733100427248278,0.056635361016898006,0.5258281185284883,0.019354559173680144
S2,200,3.0,0.2,80,1.0,0.0,0.6808440709612313,0.05929370356558521,1.760049543610868,0.04580227924730434,-1.2304205397587613,0.0587572131277389,0.5296290038521068,0.0223923029155821
